FOD-0481	Variante			飲食店	イタリアン	The Tabelog Award 2020 Bronze	神奈川県								https://tabelog.com/tokyo/A1303/A130302/14057973/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 49/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0482	ヴィチーノ			飲食店	イタリアン	The Tabelog Award 2020 Bronze	愛知県								https://tabelog.com/tokyo/A1303/A130302/23039432/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 50/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0483	ヴィンチェロ			飲食店	イタリアン	The Tabelog Award 2020 Bronze	東京都								https://tabelog.com/tokyo/A1303/A130302/13004299/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 52/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0484	カーザ ヴィニタリア			飲食店	イタリアン	The Tabelog Award 2020 Bronze	東京都								https://tabelog.com/tokyo/A1303/A130302/13010456/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 93/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0485	潟潟ヤ			飲食店	創作料理	The Tabelog Award 2020 Bronze	神奈川県								https://tabelog.com/tokyo/A1303/A130302/14012400/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 102/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0486	釜あげうどん 長田 in 香の香			飲食店	うどん	The Tabelog Award 2020 Bronze	香川県								https://tabelog.com/tokyo/A1303/A130302/37000015/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 107/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0487	かみその			飲食店	日本料理	The Tabelog Award 2020 Bronze	愛知県								https://tabelog.com/tokyo/A1303/A130302/23000092/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 108/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0488	カモシヤ クスモト			飲食店	創作料理	The Tabelog Award 2020 Bronze	大阪府								https://tabelog.com/tokyo/A1303/A130302/27010572/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 109/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0489	カレーライス ディラン			飲食店	アジア・エスニック	The Tabelog Award 2020 Bronze	東京都								https://tabelog.com/tokyo/A1303/A130302/13158580/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 110/488 / https://award.tabelog.com/2020/restaurants/bronze
FOD-0490	川喜			飲食店	魚介料理・海鮮料理	The Tabelog Award 2020 Bronze	福井県								https://tabelog.com/tokyo/A1303/A130302/18000003/		未確認				46232	店舗照合済	The Tabelog Award 2020 Bronze / 公式受賞一覧全488件照合 / 公式掲載順 111/488 / https://award.tabelog.com/2020/restaurants/bronze
